Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,27.43,27.50,27.30,27.35,1030900,27.35
2014-06-12,27.50,27.50,27.20,27.30,350800,27.30
2014-06-11,27.79,27.79,27.18,27.39,2186500,27.39
2014-06-10,27.29,27.50,26.82,27.48,1381400,27.48
2014-06-09,27.50,27.50,26.90,27.31,575600,27.31
2014-06-06,26.80,27.36,26.33,27.30,2956600,27.30
2014-06-05,26.79,26.80,26.30,26.53,2371400,26.53
2014-06-04,26.55,26.60,26.47,26.56,4196100,26.56
2014-06-03,26.20,26.72,26.12,26.59,3262400,26.59
2014-06-02,26.55,26.65,26.10,26.18,2759500,26.18
2014-05-30,26.50,27.00,26.07,26.39,4197900,26.39
2014-05-29,26.25,26.98,26.25,26.49,960100,26.49
2014-05-28,27.13,27.19,26.24,26.71,901800,26.71
2014-05-27,27.18,27.24,26.55,26.96,288100,26.96
2014-05-26,26.96,27.24,26.76,27.17,190900,27.17
2014-05-23,26.30,27.15,26.11,26.96,40730400,26.96
2014-05-22,26.28,26.70,26.20,26.23,3765200,26.23
2014-05-21,26.74,26.94,26.10,26.11,720900,26.11
2014-05-20,26.65,27.00,26.05,26.46,2049300,26.46
2014-05-19,26.40,27.00,26.20,26.54,292100,26.54
2014-05-16,26.39,26.99,25.49,25.90,756700,25.90
2014-05-15,27.13,27.16,26.50,26.72,878800,26.72
2014-05-14,26.97,27.16,26.90,27.03,385300,27.03
2014-05-13,27.15,27.25,26.17,26.99,220500,26.99
2014-05-12,26.53,27.16,26.53,27.02,737400,27.02
2014-05-09,26.64,26.75,26.15,26.55,343600,26.55
2014-05-08,26.86,26.90,26.25,26.50,1247900,26.50
2014-05-07,26.79,26.80,26.49,26.74,399500,26.74
2014-05-06,26.52,26.76,26.00,26.49,741500,26.49
2014-05-05,25.88,26.89,25.88,26.50,819100,26.50
2014-05-02,26.13,26.82,25.42,25.76,309500,25.76
2014-05-01,26.12,26.12,26.12,26.12,000,26.12
2014-04-30,25.20,26.29,25.20,26.12,953500,26.12
2014-04-29,24.90,25.29,24.61,25.07,500700,25.07
2014-04-28,25.08,25.75,24.95,24.97,735500,24.97
2014-04-25,24.77,25.45,24.75,25.08,320400,25.08
2014-04-24,25.36,25.37,24.77,24.83,526500,24.83
2014-04-23,25.40,25.98,25.02,25.33,142400,25.33
2014-04-22,25.50,25.50,25.12,25.32,430000,25.32
2014-04-21,25.47,25.95,25.33,25.46,188600,25.46
2014-04-18,25.35,25.35,25.35,25.35,000,25.35
2014-04-17,25.35,25.35,25.35,25.35,000,25.35
2014-04-16,25.47,25.50,25.27,25.35,160000,25.35
2014-04-15,25.32,25.39,25.00,25.19,126300,25.19
2014-04-14,25.27,25.44,24.91,25.22,102800,25.22
