Hechos Intradia,,,,,,
,,,,,,
"Razon Social: PLA ADMINISTRADORA INDUSTRIAL, S. DE R.L. DE C.V. (FIBRA TERRA)",,,,,,
Ticker: TERRA,,,,,,
Serie: 13,,,,,,
Fecha Inicial: 8/11/2014,,,,,,
Fecha Final: 8/15/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
8/11/2014,10:21:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,100,29.89,2989
8/11/2014,10:22:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:22:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,100,29.89,2989
8/11/2014,10:23:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:24:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:25:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:26:00 AM,GRUPO BURSATIL MEXICANO,CITIBANK,200,29.9,5980
8/11/2014,10:29:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:30:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:31:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:32:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:34:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:34:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,100,29.89,2989
8/11/2014,10:35:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:36:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:37:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:38:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:40:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:41:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:43:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:44:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:44:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,100,29.89,2989
8/11/2014,10:44:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:45:00 AM,GRUPO BURSATIL MEXICANO,CITIBANK,100,29.9,2990
8/11/2014,10:46:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:47:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:48:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:49:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:50:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:52:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
8/11/2014,10:53:00 AM,VALORES FINAMEX,MORGAN STANLEY MEXICO CAS,100,29.89,2989
